"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Framework for Distributed Denial of Service Attack Detection and Reactive Countermeasure in Software Defined Network","A. Sangodoyin; B. Mohammed; M. Sibusiso; I. Awan; J. P. Disso",University of Bradford; University of Bradford; University of Bradford; University of Bradford; BNP Paribas,"2019 7th International Conference on Future Internet of Things and Cloud (FiCloud)","30 Jan 2020","2019","","","80","87","Software Defined Network is an evolving and promising architecture which allows greater control over network entities by centralising the control plane. Although on the surface SDN provides a simple framework for network programmability and monitoring, few has been said about security measures to make it more robust to hitherto security flaws. Among the identified security flaws, DDoS flooding attack continue to be one of the major security concerns as attack volumes are increasing year on year. In this paper, we developed and implement the feasibility of spoofing and flooding DDoS attack on data plane devices using Mininet emulator, floodlight and network performance testing tools. We further developed a mitigation mechanism to counter these attacks by pushing reactive flow through the controller to the attacking switch port. Our result shows that pushing flows through the controller mitigates the flooding attack with low performance overheads, and requires no change to the controllers mode of operation for deployment, which indicates a good performance of our model.","","978-1-7281-2888-7","10.1109/FiCloud.2019.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8972827","Software Defined Network, Mininet, Floodlight, Attack detection, Attack mitigation, Network security, DDoS","","computer network security;software defined networking;telecommunication traffic","greater control;network entities;control plane;surface SDN;network programmability;security measures;hitherto security flaws;identified security flaws;DDoS flooding attack;security concerns;attack volumes;spoofing;data plane devices;floodlight;network performance testing tools;reactive flow;attacking switch port;service attack detection;reactive countermeasure;software defined network;distributed denial of service attack detection","","","25","","30 Jan 2020","","","IEEE","IEEE Conferences"
"Distributed denial of service: Attack techniques and mitigation","K. S. Vanitha; S. V. UMA; S. K. Mahidhar","Department of Electronics and Communication Engineering, RNS Institute of Technology, Bangalore, Karnataka, India; Department of Electronics and Communication Engineering, RNS Institute of Technology, Bangalore, Karnataka, India; Department of Electronics and Communication Engineering, RNS Institute of Technology, Bangalore, Karnataka, India","2017 International Conference on Circuits, Controls, and Communications (CCUBE)","25 Jun 2018","2017","","","226","231","A Distributed Denial of Service (DDoS) attack is an attempt to make a service unavailable by overwhelming the server with malicious traffic. DDoS attacks have become the most tedious and cumbersome issue in recent past. The number and magnitude of attacks have increased from few megabytes of data to 100s of terabytes of data these days. Due to the differences in the attack patterns or new types of attack, it is hard to detect these attacks effectively. In this paper, we devise new techniques for causing DDoS attacks and mitigation which are clearly shown to perform much better than the existing techniques. We also categorize DDoS attack techniques as well as the techniques used in their detection and thus attempt an extensive scoping of the DDoS problem. We also compare our attack module with a couple of tools available.","","978-1-5386-0615-5","10.1109/CCUBE.2017.8394146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8394146","Distributed Denial of Service;Ping flooding;TCP SYN flooding;TCP RST attack;UDP flooding;HTTP GET flooding;Rate detection;Port checking;SYN thresholding;RST thresholding","Computer crime;Floods;IP networks;Tools;Servers;Protocols;Bandwidth","computer network security;telecommunication traffic","malicious traffic;attack patterns;DDoS attack techniques;attack module;distributed denial of service attack","","2","11","","25 Jun 2018","","","IEEE","IEEE Conferences"
"LAN security analysis and design","Z. Balogh; Š. Koprda; J. Francisti","Department of Informatics, Constantine the Philosopher University in Nitra, Tr. A. Hlinku 1, Nitra, 940 11, Slovakia; Department of Informatics, Constantine the Philosopher University in Nitra, Tr. A. Hlinku 1, Nitra, 940 11, Slovakia; Department of Informatics, Constantine the Philosopher University in Nitra, Tr. A. Hlinku 1, Nitra, 940 11, Slovakia","2018 IEEE 12th International Conference on Application of Information and Communication Technologies (AICT)","27 Jun 2019","2018","","","1","6","A computer network is a perfect system of connected and cooperating computers. It forms the basis of many other systems. The aim of the paper is to analyse and propose security for local computer networks. The aim of the analysis is to create a compact overview of the information that is important for understanding the potential risks and threats in computer networks. In the case study, we conducted simulations of attacks. Specifically, we have chosen the most popular attacks, the ARP spoofing and Session hijacking attacks. To perform a simulation, we used two tools, Cain & Abel and Wireshark. After the execution of simulations, we examined the proposal for network safety. The most important factors that need to be addressed when defining LAN security are maintaining confidentiality, integrity, availability of information, and authenticity.","2472-8586","978-1-5386-6468-1","10.1109/ICAICT.2018.8746912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8746912","Local Area Network;Network attack;Network security;Computer security;Simulation;MITM","Tools;Local area networks;Protocols;Computer networks;Password","computer network security;cooperative communication;local area networks;telecommunication network planning","network safety;LAN security analysis;local computer networks;potential risks;cooperating computers;ARP spoofing;session hijacking attacks;Cain & Abel tool;Wireshark","","","29","","27 Jun 2019","","","IEEE","IEEE Conferences"
"DDoS Attacks at the Application Layer: Challenges and Research Perspectives for Safeguarding Web Applications","A. Praseed; P. S. Thilagam","Department of Computer Science and Engineering, National Institute of Technology Karnataka, Surathkal, India; Department of Computer Science and Engineering, National Institute of Technology Karnataka, Surathkal, India","IEEE Communications Surveys & Tutorials","22 Feb 2019","2019","21","1","661","685","Distributed denial of service (DDoS) attacks are some of the most devastating attacks against Web applications. A large number of these attacks aim to exhaust the network bandwidth of the server, and are called network layer DDoS attacks. They are volumetric attacks and rely on a large volume of network layer packets to throttle the bandwidth. However, as time passed, network infrastructure became more robust and defenses against network layer attacks also became more advanced. Recently, DDoS attacks have started targeting the application layer. Unlike network layer attacks, these attacks can be carried out with a relatively low attack volume. They also utilize legitimate application layer requests, which makes it difficult for existing defense mechanisms to detect them. These attacks target a wide variety of resources at the application layer and can bring a server down much faster, and with much more stealth, than network layer DDoS attacks. Over the past decade, research on application layer DDoS attacks has focused on a few classes of these attacks. This paper attempts to explore the entire spectrum of application layer DDoS attacks using critical features that aid in understanding how these attacks can be executed. defense mechanisms against the different classes of attacks are also discussed with special emphasis on the features that aid in the detection of different classes of attacks. Such a discussion is expected to help researchers understand why a particular group of features are useful in detecting a particular class of attacks.","1553-877X","","10.1109/COMST.2018.2870658","Ministry of Electronics and Information technology; Research and Development Project entitled “Development of Tool for Detection of Application Layer DDoS Attacks on Web Applications” during the period 2017–2019; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466561","Application layer;DDoS;attacks;defenses;denial of service;taxonomy;detection;Web applications","Computer crime;Servers;Government;Bandwidth;Protocols;Feature extraction","computer network security;Internet","application layer DDoS attacks;devastating attacks;network layer DDoS attacks;network layer packets;relatively low attack volume;legitimate application layer requests","","11","121","","16 Sep 2018","","","IEEE","IEEE Journals"
"DDoS attack detection mechanism in the application layer using user features","S. Bravo; D. Mauricio","Faculty of Engineering and Applied Sciences, Technical University of Cotopaxi, Latacunga, Ecuador; Faculty in Systems Engineering and Computer Science, National University of San Marcos, Lima, Peru","2018 International Conference on Information and Computer Technologies (ICICT)","10 May 2018","2018","","","97","100","DDoS attacks are one of the most damaging computer aggressions of recent times. Attackers send large number of requests to saturate a victim machine and it stops providing its services to legitimate users. In general attacks are directed to the network layer and the application layer, the latter has been increasing due mainly to its easy execution and difficult detection. The present work proposes a low cost detection approach that uses the characteristics of the Web User for the detection of attacks. To do this, the features are extracted in real time using functions designed in PHP and JavaScript. They are evaluated by an order 1 classifier to differentiate a real user from a DDoS attack. A real user is identified by making requests interacting with the computer system, while DDoS attacks are requests sent by robots to overload the system with indiscriminate requests. The tests were executed on a computer system using requests from real users and attacks using the LOIC, OWASP and GoldenEye tools. The results show that the proposed method has a detection efficiency of 100%, and that the characteristics of the web user allow to differentiate between a real user and a robot.","","978-1-5386-5384-5","10.1109/INFOCT.2018.8356848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8356848","DDoS;denial of service;dynamism user;features user","Computer crime;Tools;Mice;Feature extraction;Real-time systems;Classification algorithms;CAPTCHAs","computer network security;Internet","computer system;detection efficiency;web user;DDoS attack detection mechanism;application layer;user features;attackers;network layer;low cost detection approach;computer aggressions;PHP;JavaScript;LOIC;OWASP;GoldenEye tools","","1","12","","10 May 2018","","","IEEE","IEEE Conferences"
"Analysis of cloud computing attacks and countermeasures","R. M. Jabir; S. I. R. Khanji; L. A. Ahmad; O. Alfandi; H. Said","College of Technological Innovations, Zayed University, 144534, UAE; College of Technological Innovations, Zayed University, 144534, UAE; College of Technological Innovations, Zayed University, 144534, UAE; College of Technological Innovations, Zayed University, 144534, UAE; College of Technological Innovations, Zayed University, 144534, UAE","2016 18th International Conference on Advanced Communication Technology (ICACT)","3 Mar 2016","2016","","","117","123","Business enterprises are competing to get their applications up and running faster with improved manageability and less maintenance by reassigning the ability to IT specialists to adjust resources in order to meet business fluctuating needs. This can be achieved through utilizing the Cloud Computing Model which is distinguished by `pay as you go' model. The model offers solutions of storage, convenient and on-demand access to a shared pool of configurable computing resources. As with any novel technology, Cloud Computing is subject to security threats and vulnerabilities including network threats, information threats and underlying infrastructure threats. In this paper, we present a framework by which penetration testing is conducted to highlight possible vulnerabilities within our private Cloud Computing infrastructure, simulate attacks to exploit discovered vulnerabilities such as Denial of Service (DoS) and Man-in-the-Cloud attacks, apply countermeasures to prevent such attacks, and then to exemplify a recommended best practice protection mechanism which will contribute to the Cloud Computing security.","","978-8-9968-6506-3","10.1109/ICACT.2016.7423296","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7423296","Cloud Computing;Man in the Cloud;DDOS;OpenStack","Decision support systems;Erbium","cloud computing;program testing;security of data","cloud computing attacks;business enterprise;cloud computing model;pay-as-you-go model;configurable computing resources;security threats;security vulnerabilities;denial-of-service attack;DoS;man-in-the-cloud attacks;cloud computing security;penetration testing","","5","18","","3 Mar 2016","","","IEEE","IEEE Conferences"
"RTVD: A Real-Time Volumetric Detection Scheme for DDoS in the Internet of Things","J. Li; M. Liu; Z. Xue; X. Fan; X. He","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University (SJTU), Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University (SJTU), Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University (SJTU), Shanghai, China; School of Electrical and Data Engineering, University of Technology Sydney (UTS), Ultimo, NSW, Australia; Computer Vision and Pattern Recognition Laboratory, Global Big Data Technologies Centre (GBDTC), University of Technology Sydney (UTS), Ultimo, NSW, Australia","IEEE Access","28 Feb 2020","2020","8","","36191","36201","Distributed Denial of Service (DDoS) attacks are increasingly harmful to the cyberspace nowadays. The attackers can now easily launch a bigger and more challenging DDoS attack both towards and with Internet-of-Things (IoT) devices, due to the fast popularization of them. Because of the characteristic of fast overwhelming, it is important to make fast as well as accurate response to DDoS attacks, and the real-time performance can be even more important to prevent and legitimate the attacks. Among the methods proposed by researchers, the entropy-based detection method provides a sensitive and reliable performance. However, the balance between computational complexity and recognition accuracy remains a challenge. In this paper, we propose a detection method that consists of 3 main parts in different aspects: a sliding time window to fasten the entropy calculation, a single-directional filter to realize early detection during the DDoS progress but not after the crash, and a quintile deviation check algorithm to optimize the detection result. These will eventually lead to a real-time and high-efficient performance to recognize IoT DDoS attacks as soon as possible.","2169-3536","","10.1109/ACCESS.2020.2974293","Shanghai Jiao Tong University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9000545","DDoS detection;IoT security;joint entropy;quintile deviation check;real-time detection;sliding time window","Computer crime;Denial-of-service attack;Entropy;Real-time systems;IP networks;Microsoft Windows;Internet of Things","communication complexity;computer network security;entropy;Internet of Things","quintile deviation check algorithm;single-directional filter;computational complexity;entropy-based detection method;Internet-of-Things devices;cyberspace;distributed denial of service attacks;real-time volumetric detection scheme;RTVD;IoT DDoS attacks;entropy calculation;sliding time window","","2","40","CCBY","17 Feb 2020","","","IEEE","IEEE Journals"
"Internal security attacks on SCADA systems","N. Sayegh; A. Chehab; I. H. Elhajj; A. Kayssi","Department of Electrical and Computer Engineering, American University of Beirut, Lebanon; Department of Electrical and Computer Engineering, American University of Beirut, Lebanon; Department of Electrical and Computer Engineering, American University of Beirut, Lebanon; Department of Electrical and Computer Engineering, American University of Beirut, Lebanon","2013 Third International Conference on Communications and Information Technology (ICCIT)","15 Aug 2013","2013","","","22","27","Supervisory Control and Data Acquisition (SCADA) systems have become essential to many industries around the world. Nowadays, SCADA systems are controlling many critical infrastructures such as power grids, mega factories, water treatment systems, and even nuclear power plants. As a result, SCADA systems have become very attractive targets for malicious attacks. In this paper, we show a test-bed that we have developed to detect vulnerabilities within SCADA protocols against internal attacks in order to find out how easy it is to bypass security measures in such protocols. Furthermore, we have tested SCADA components to assess their vulnerabilities against the following attacks: Denial of Service (DoS) attacks, replay attacks, cryptographic attacks, and fragmentation attacks. Our results indicate that SCADA protocols and components are very vulnerable, and hence it is of paramount importance to find immediate solutions to these vulnerabilities.","","978-1-4673-5307-6","10.1109/ICCITechnology.2013.6579516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6579516","SCADA;industrial security;test-beds","Protocols;SCADA systems;Computer crime;Floods;IP networks;Cryptography","protocols;SCADA systems;security of data","Supervisory Control and Data Acquisition;SCADA systems;malicious attacks;internal attacks;security measures;Denial of Service;DoS attacks;replay attacks;cryptographic attacks;fragmentation attacks;SCADA protocols","","11","17","","15 Aug 2013","","","IEEE","IEEE Conferences"
"Efficiency Upgrade of Hybrid Fuel Cell Vehicles' Energy Management Strategies by Online Systemic Management of Fuel Cell","M. Kandidayeni; A. Macias Fernandez; L. Boulon; S. Kelouwani","Electrical and Computer Engineering, University of Quebec in Trois Rivieres Hydrogen Research Institute, 536824 Trois Rivieres, Quebec Canada G8Z 4M3 (e-mail: mohsen.kandi.dayeni@uqtr.ca); Electrical and Computer Engineering, University of Quebec in Trois Rivieres Hydrogen Research Institute, 536824 Trois Rivieres, Quebec Canada (e-mail: alvaro.omar.macias.fernandez@uqtr.ca); Universit du Qubec Trois-Rivire, Quebec Canada (e-mail: loic.boulon@uqtr.ca); Mechanical Engineering, Univ Quebec Trois Rivieres, Trois-Rivieres, Quebec Canada G9A 5H7 (e-mail: sousso.kelouwani@uqtr.ca)","IEEE Transactions on Industrial Electronics","","2020","PP","99","1","1","This paper puts forward an approach for boosting the efficiency of energy management strategies (EMSs) in fuel cell hybrid electric vehicles (FCHEVs) using an online systemic management of the fuel cell system (FCS). Unlike other similar works which solely determine the requested current from the FCS, this work capitalizes on simultaneous regulation of current and temperature, which have different dynamic behavior. In this regard, firstly, an online systemic management scheme is developed to guarantee the supply of the requested power from the stack with the highest efficiency. This scheme is based on an updatable 3D map which relates the requested power from the stack to its optimal temperature and current. Secondly, two different EMSs are used to distribute the power between the FCS and battery. The EMSs' constraints are constantly updated by the online model to embrace the stack performance drifts owing to degradation and operating conditions variation. Finally, the effect of integrating the developed online systemic management into the EMSs' design is experimentally scrutinized under two standard driving cycles and indicated that up to 3.7% efficiency enhancement can be reached by employing such a systemic approach. Moreover, FCS health adaptation unawareness can increase the hydrogen consumption up to 6.6%.","1557-9948","","10.1109/TIE.2020.2992950","Natural Sciences and Engineering Research Council of Canada; Fonds de Recherche du Qubec - Nature et Technologies; Canada Research Chairs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9091889","Online parameter estimation;optimal energy management strategy;proton exchange membrane fuel cell;systemic management;thermal control","Hydrogen;Energy management;Fuel cells;Batteries;Degradation;Cooling;Valves","","","","","","","13 May 2020","","","IEEE","IEEE Early Access Articles"
"Feature Reduction in Flow Based Intrusion Detection System","G. V. Patil; K. V. Pachghare; D. D. Kshirsagar","College of Engineering, Pune,Computer & IT Department,Pune,India; College of Engineering, Pune,Computer & IT Department,Pune,India; College of Engineering, Pune,Computer & IT Department,Pune,India","2018 3rd IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology (RTEICT)","27 Feb 2020","2018","","","1356","1362","Intrusion Detection System (IDS) is a component which monitors the traffic and analyzes it. It helps in detection of malicious traffic and intrusions and security attacks. Developing IDS to get better accuracy with reduced false positive rate is the important factor. Moreover, the amount of data to be analyzed is beyond the ability of commonly used computer hardware and software tools. And it takes lots of time for processing of such huge network traffic. So, one must find an efficient way to reduce the size of data from dataset without losing important and relevant information. In this paper we proposed a feature selection for effective Intrusion Detection System. The proposed system performs feature selection. In this paper, we proposed a performance based feature selection process with machine learning for most relevant features selection. We used JRip rule based classification algorithm for performance evaluation using 10-fold cross validation. This study is performed using a new labeled flow based CICIDS2017 data set. There are total 85 features in CICIDS2017 data set. In this paper we focused on relevant feature selection for DDoS LOIC (Low Orbit Ion Cannon) attack. Out of total 86 features we find 18 most relevant features subset for DDoS LOIC attack which gave more accuracy and reduced processing time. The proposed system along with only most relevant features set helps in developing IDS accuracy and reducing computation time.","","978-1-5386-2440-1","10.1109/RTEICT42901.2018.9012554","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9012554","IDS;DoS;DDoS;DDoS LOIC;JRip algorithm;Feature selection;CICIDS2017 dataset","Feature extraction;Intrusion detection;Computer crime;Servers;Classification algorithms;Machine learning algorithms","computer network security;knowledge based systems;learning (artificial intelligence);telecommunication traffic","performance based feature selection process;low orbit ion Cannon attack;network traffic;labeled flow based CICIDS2017 data set;IDS accuracy;DDoS LOIC attack;JRip rule based classification algorithm;software tools;computer hardware;false positive rate;security attacks;malicious traffic;flow based Intrusion Detection System","","","24","","27 Feb 2020","","","IEEE","IEEE Conferences"
